17:16:07: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 1.0, 0.1)
17:16:07: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -26.565051177078004
17:16:07: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
17:16:07: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -45.0
17:16:08: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
17:16:08: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -90.0
17:16:08: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
17:16:08: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -45.0
17:16:09: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
17:16:09: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -90.0
17:16:09: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.4, 2.4, 0.08)
17:16:09: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -135.0
17:16:10: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
17:16:10: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -63.43494882292201
17:16:10: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
17:16:10: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -90.0
17:16:11: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
17:16:11: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -116.56505117707798
17:16:11: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
17:16:11: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -45.0
17:16:12: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
17:16:12: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -63.43494882292201
17:16:12: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.06451612903225806)
17:16:12: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: -90.0
